long_model,airline,photo_date,uploaded_date,location,uploader,photo_link,download_path,model,variant,purpose
Airbus A320-214,China Southern Airlines,Photo date: 2021-04-18,Uploaded: 2021-06-15,"Location: Qianjiang Airport-Skyjack - ZUQJ, China",By: ZUCK-ZX,cdn.jetphotos.com/400/5/67023_1622655880.jpg,./img/A320/cdn.jetphotos.com-400-5-67023_1622655880.jpg,A320,214,validation
Airbus A320-214,Brussels Airlines,Photo date: 2021-05-21,Uploaded: 2021-06-15,"Location: Valencia - LEVC, Spain",By: Fabrizio Spicuglia,cdn.jetphotos.com/400/6/20750_1622655241.jpg,./img/A320/cdn.jetphotos.com-400-6-20750_1622655241.jpg,A320,214,train
Airbus A320-214,easyJet Europe,Photo date: 2021-05-28,Uploaded: 2021-06-15,"Location: Naples - Capodichino - LIRN, Italy",By: Marco Macca,cdn.jetphotos.com/400/5/14649_1622654964.jpg,./img/A320/cdn.jetphotos.com-400-5-14649_1622654964.jpg,A320,214,test
Airbus A320-214,SundAir,Photo date: 2021-05-30,Uploaded: 2021-06-15,"Location: Hamburg Fuhlsbüttel - EDDH, Germany",By: Lennart Boettcher,cdn.jetphotos.com/400/6/56125_1622654253.jpg,./img/A320/cdn.jetphotos.com-400-6-56125_1622654253.jpg,A320,214,train
Airbus A320-214,Austrian Airlines,Photo date: 2021-05-30,Uploaded: 2021-06-15,"Location: Hamburg Fuhlsbüttel - EDDH, Germany",By: Lennart Boettcher,cdn.jetphotos.com/400/5/54751_1622654343.jpg,./img/A320/cdn.jetphotos.com-400-5-54751_1622654343.jpg,A320,214,train
Airbus A320-271N,Swiss,Photo date: 2021-05-30,Uploaded: 2021-06-15,"Location: Hamburg Fuhlsbüttel - EDDH, Germany",By: Lennart Boettcher,cdn.jetphotos.com/400/6/30935_1622654299.jpg,./img/A320/cdn.jetphotos.com-400-6-30935_1622654299.jpg,A320,271N,validation
Airbus A320-251N,Iberia,Photo date: 2021-05-30,Uploaded: 2021-06-15,"Location: Hamburg Fuhlsbüttel - EDDH, Germany",By: Lennart Boettcher,cdn.jetphotos.com/400/6/54169_1622654280.jpg,./img/A320/cdn.jetphotos.com-400-6-54169_1622654280.jpg,A320,251N,train
Airbus A320-271N,Aegean Airlines,Photo date: 2021-05-31,Uploaded: 2021-06-15,"Location: Zurich-Kloten Airport - LSZH, Switzerland",By: John Richard,cdn.jetphotos.com/400/6/47697_1622654179.jpg,./img/A320/cdn.jetphotos.com-400-6-47697_1622654179.jpg,A320,271N,train
Airbus A320-214,Tunisair,Photo date: 2021-05-08,Uploaded: 2021-06-15,"Location: Milano Malpensa - LIMC, Italy",By: Gian Pietro Bardizza,cdn.jetphotos.com/400/6/15425_1622651027.jpg,./img/A320/cdn.jetphotos.com-400-6-15425_1622651027.jpg,A320,214,train
Airbus A320-214,Avianca,Photo date: 2018-03-10,Uploaded: 2021-06-15,"Location: San Jose Juan Santamaria Int'l - MROC, Costa Rica",By: Jose A Salazar Hernandez SJO Spotter,cdn.jetphotos.com/400/6/46196_1622652558.jpg,./img/A320/cdn.jetphotos.com-400-6-46196_1622652558.jpg,A320,214,validation
Airbus A320-216,Iberia Express,Photo date: 2018-07-28,Uploaded: 2021-06-15,"Location: Palma de Mallorca Son San Juan - LEPA, Spain",By: Jose Luis Guerrero,cdn.jetphotos.com/400/5/30868_1622651972.jpg,./img/A320/cdn.jetphotos.com-400-5-30868_1622651972.jpg,A320,216,validation
Airbus A320-251N,China Eastern Airlines,Photo date: 2021-05-03,Uploaded: 2021-06-15,"Location: Shanghai Pudong - ZSPD, China",By: zwzhou,cdn.jetphotos.com/400/6/10201_1622652118.jpg,./img/A320/cdn.jetphotos.com-400-6-10201_1622652118.jpg,A320,251N,test
Airbus A320-216,Iberia,Photo date: 2021-05-13,Uploaded: 2021-06-15,"Location: Milano Linate - LIML, Italy",By: Claudio Venturini,cdn.jetphotos.com/400/6/87539_1622651568.jpg,./img/A320/cdn.jetphotos.com-400-6-87539_1622651568.jpg,A320,216,test
Airbus A320-212,Condor,Photo date: 2021-04-19,Uploaded: 2021-06-15,"Location: Palma de Mallorca Son San Juan - LEPA, Spain",By: Jose Luis Guerrero,cdn.jetphotos.com/400/5/24577_1622651434.jpg,./img/A320/cdn.jetphotos.com-400-5-24577_1622651434.jpg,A320,212,validation
Airbus A320-214,Lufthansa,Photo date: 2021-05-30,Uploaded: 2021-06-15,"Location: Frankfurt Rhein-Main Int'l Airport - EDDF, Germany",By: Alexander Ufer,cdn.jetphotos.com/400/6/37928_1622650172.jpg,./img/A320/cdn.jetphotos.com-400-6-37928_1622650172.jpg,A320,214,test
Airbus A320-271N,Lufthansa,Photo date: 2021-05-30,Uploaded: 2021-06-15,"Location: Frankfurt Rhein-Main Int'l Airport - EDDF, Germany",By: Alexander Ufer,cdn.jetphotos.com/400/6/64557_1622650023.jpg,./img/A320/cdn.jetphotos.com-400-6-64557_1622650023.jpg,A320,271N,test
Airbus A320-271N,All Nippon Airways (ANA),Photo date: 2021-06-01,Uploaded: 2021-06-15,"Location: Tokyo Haneda Int'l - RJTT, Japan",By: tomobile,cdn.jetphotos.com/400/5/72477_1622649899.jpg,./img/A320/cdn.jetphotos.com-400-5-72477_1622649899.jpg,A320,271N,train
Airbus A320-214,Rossiya Airlines,Photo date: 2021-06-01,Uploaded: 2021-06-15,"Location: Krasnoyarsk Yemelyanovo - UNKL, Russia",By: David_Vlasov,cdn.jetphotos.com/400/5/78425_1622647070.jpg,./img/A320/cdn.jetphotos.com-400-5-78425_1622647070.jpg,A320,214,train
Airbus A320-232,Wizz Air,Photo date: 2021-06-02,Uploaded: 2021-06-15,"Location: Salzburg W. A. Mozart - LOWS, Austria",By: Karl Dittlbacher,cdn.jetphotos.com/400/6/78722_1622646402.jpg,./img/A320/cdn.jetphotos.com-400-6-78722_1622646402.jpg,A320,232,train
Airbus A320-232,Jet2.com (Titan Airways),Photo date: 2015-03-21,Uploaded: 2021-06-15,"Location: Manchester Ringway Int'l Airport - EGCC, United Kingdom",By: wanghaotian,cdn.jetphotos.com/400/6/24654_1622642246.jpg,./img/A320/cdn.jetphotos.com-400-6-24654_1622642246.jpg,A320,232,train
Airbus A320-232,Air Macau,Photo date: 2021-05-23,Uploaded: 2021-06-15,"Location: Guangzhou Baiyun Airport - ZGGG, China",By: songxiuming,cdn.jetphotos.com/400/5/44718_1622639707.jpg,./img/A320/cdn.jetphotos.com-400-5-44718_1622639707.jpg,A320,232,validation
Airbus A320-251N,China Southern Airlines,Photo date: 2021-01-29,Uploaded: 2021-06-15,"Location: Kunming Changshui Int'l - ZPPP, China",By: PPengpeng,cdn.jetphotos.com/400/6/75797_1622637756.jpg,./img/A320/cdn.jetphotos.com-400-6-75797_1622637756.jpg,A320,251N,validation
Airbus A320-214,China Southern Airlines,Photo date: 2021-04-04,Uploaded: 2021-06-15,"Location: Shanghai Pudong - ZSPD, China",By: Janson Button,cdn.jetphotos.com/400/5/71988_1622636760.jpg,./img/A320/cdn.jetphotos.com-400-5-71988_1622636760.jpg,A320,214,test
Airbus A320-214,Batik Air,Photo date: 2021-05-30,Uploaded: 2021-06-15,"Location: Surakarta Adi Soemarmo Int'l Airport - WAHQ, Indonesia",By: Farisky Putra,cdn.jetphotos.com/400/5/37316_1622637043.jpg,./img/A320/cdn.jetphotos.com-400-5-37316_1622637043.jpg,A320,214,test
Airbus A320-214,Spring Airlines,Photo date: 2021-04-10,Uploaded: 2021-06-15,"Location: Xiamen Gaoqi - ZSAM, China",By: Wanping Chen,cdn.jetphotos.com/400/5/22824_1622634528.jpg,./img/A320/cdn.jetphotos.com-400-5-22824_1622634528.jpg,A320,214,train
Airbus A320-271N,Spirit Airlines,Photo date: 2021-04-08,Uploaded: 2021-06-15,"Location: Orlando Int'l Airport - KMCO, USA - Florida",By:  Sebastian Colaizzi,cdn.jetphotos.com/400/5/91909_1622634179.jpg,./img/A320/cdn.jetphotos.com-400-5-91909_1622634179.jpg,A320,271N,train
Airbus A320-251N,Spring Airlines,Photo date: 2021-06-13,Uploaded: 2021-06-15,"Location: Shenyang-Taoxian - ZYTX, China",By: Northrop_L,cdn.jetphotos.com/400/6/89789_1623669674.jpg,./img/A320/cdn.jetphotos.com-400-6-89789_1623669674.jpg,A320,251N,test
Airbus A320-251N,Loong Air,Photo date: 2021-04-28,Uploaded: 2021-06-15,"Location: Beijing Capital - ZBAA, China",By: Liu Yonggang,cdn.jetphotos.com/400/5/98423_1621827192.jpg,./img/A320/cdn.jetphotos.com-400-5-98423_1621827192.jpg,A320,251N,train
Airbus A320-214,Batik Air,Photo date: 2021-05-27,Uploaded: 2021-06-15,"Location: Semarang Ahmad Yani Int'l Airport - WAHS, Indonesia",By: Ravinsa adikara,cdn.jetphotos.com/400/5/42409_1622633113.jpg,./img/A320/cdn.jetphotos.com-400-5-42409_1622633113.jpg,A320,214,train
Airbus A320-216,Iberia Express,Photo date: 2021-05-21,Uploaded: 2021-06-15,"Location: Valencia - LEVC, Spain",By: Fabrizio Spicuglia,cdn.jetphotos.com/400/5/71483_1622632844.jpg,./img/A320/cdn.jetphotos.com-400-5-71483_1622632844.jpg,A320,216,train
Airbus A320-214,Eurowings,Photo date: 2021-05-21,Uploaded: 2021-06-15,"Location: Valencia - LEVC, Spain",By: Fabrizio Spicuglia,cdn.jetphotos.com/400/6/11281_1622632916.jpg,./img/A320/cdn.jetphotos.com-400-6-11281_1622632916.jpg,A320,214,train
Airbus A320-232,British Airways,Photo date: 2021-06-01,Uploaded: 2021-06-15,"Location: London Heathrow Int'l - EGLL, United Kingdom",By: Ethan Sewell,cdn.jetphotos.com/400/5/82476_1622629417.jpg,./img/A320/cdn.jetphotos.com-400-5-82476_1622629417.jpg,A320,232,train
Airbus A320-232,Jetstar Airways,Photo date: 2021-05-23,Uploaded: 2021-06-15,"Location: Gold Coast/Coolangatta - YBCG, Australia",By: Brodie Lawson,cdn.jetphotos.com/400/5/68407_1622628088.jpg,./img/A320/cdn.jetphotos.com-400-5-68407_1622628088.jpg,A320,232,train
Airbus A320-232,Jetstar Airways,Photo date: 2021-05-23,Uploaded: 2021-06-15,"Location: Gold Coast/Coolangatta - YBCG, Australia",By: Brodie Lawson,cdn.jetphotos.com/400/5/70446_1622627923.jpg,./img/A320/cdn.jetphotos.com-400-5-70446_1622627923.jpg,A320,232,train
Airbus A320-232,Jetstar Airways,Photo date: 2021-05-17,Uploaded: 2021-06-15,"Location: Sydney Kingsford Smith Int'l Airport - YSSY, Australia",By: MQ1131,cdn.jetphotos.com/400/6/24217_1622627552.jpg,./img/A320/cdn.jetphotos.com-400-6-24217_1622627552.jpg,A320,232,train
Airbus A320-214,TAP Air Portugal,Photo date: 2021-05-21,Uploaded: 2021-06-15,"Location: Funchal, Cristiano Ronaldo Airport, Madeira - LPMA, Portugal",By: Nelson Sousa,cdn.jetphotos.com/400/6/56729_1622624230.jpg,./img/A320/cdn.jetphotos.com-400-6-56729_1622624230.jpg,A320,214,train
Airbus A320-216,Vueling,Photo date: 2015-06-30,Uploaded: 2021-06-15,"Location: Budapest Liszt Ferenc - LHBP, Hungary",By: Ferenc Kolos,cdn.jetphotos.com/400/5/72280_1622622230.jpg,./img/A320/cdn.jetphotos.com-400-5-72280_1622622230.jpg,A320,216,train
Airbus A320-232,Untitled,Photo date: 2021-06-02,Uploaded: 2021-06-15,"Location: Ostrava Leos Janacek Airport - LKMT, Czech Republic",By: Hanys,cdn.jetphotos.com/400/5/25492_1622621517.jpg,./img/A320/cdn.jetphotos.com-400-5-25492_1622621517.jpg,A320,232,train
Airbus A320-214,easyJet Europe,Photo date: 2021-05-24,Uploaded: 2021-06-15,"Location: Palma de Mallorca Son San Juan - LEPA, Spain",By: Yannick Schreiber,cdn.jetphotos.com/400/6/72115_1622620558.jpg,./img/A320/cdn.jetphotos.com-400-6-72115_1622620558.jpg,A320,214,train
Airbus A320-271N,Air China,Photo date: 2021-05-15,Uploaded: 2021-06-15,"Location: Inflight, China",By: Nanjo_Rippile,cdn.jetphotos.com/400/6/11539_1622616296.jpg,./img/A320/cdn.jetphotos.com-400-6-11539_1622616296.jpg,A320,271N,validation
Airbus A320-251N,Air Malta,Photo date: 2021-06-02,Uploaded: 2021-06-15,"Location: Zagreb Pleso - LDZA, Croatia",By: Josip Markuz,cdn.jetphotos.com/400/6/15551_1622618671.jpg,./img/A320/cdn.jetphotos.com-400-6-15551_1622618671.jpg,A320,251N,train
Airbus A320-232,British Airways,Photo date: 2021-05-28,Uploaded: 2021-06-15,"Location: Newcastle Int'l Airport - EGNT, United Kingdom",By: Nigel Fenwick,cdn.jetphotos.com/400/5/53219_1622617058.jpg,./img/A320/cdn.jetphotos.com-400-5-53219_1622617058.jpg,A320,232,train
Airbus A320-271N,Volaris,Photo date: 2021-05-31,Uploaded: 2021-06-15,"Location: Zacatecas General Leobardo Ruiz - MMZC, Mexico",By: Alejandro Aceves,cdn.jetphotos.com/400/5/99367_1622484839.jpg,./img/A320/cdn.jetphotos.com-400-5-99367_1622484839.jpg,A320,271N,test
Airbus A320-214,LaudaMotion,Photo date: 2018-07-30,Uploaded: 2021-06-15,"Location: Salzburg W. A. Mozart - LOWS, Austria",By: Markus Buttinger,cdn.jetphotos.com/400/5/83887_1622615761.jpg,./img/A320/cdn.jetphotos.com-400-5-83887_1622615761.jpg,A320,214,train
Airbus A320-251N,Air Malta,Photo date: 2021-05-30,Uploaded: 2021-06-15,"Location: London Heathrow Int'l - EGLL, United Kingdom",By: Chris Andrew Barker,cdn.jetphotos.com/400/5/57677_1622615641.jpg,./img/A320/cdn.jetphotos.com-400-5-57677_1622615641.jpg,A320,251N,train
Airbus A320-232,Wizz Air,Photo date: 2021-05-29,Uploaded: 2021-06-15,"Location: Tenerife Sur-Reina Sofía - GCTS, Spain",By: Román A. Pérez,cdn.jetphotos.com/400/5/97041_1622615205.jpg,./img/A320/cdn.jetphotos.com-400-5-97041_1622615205.jpg,A320,232,train
Airbus A320-214,easyJet Europe,Photo date: 2021-05-29,Uploaded: 2021-06-15,"Location: Tenerife Sur-Reina Sofía - GCTS, Spain",By: Román A. Pérez,cdn.jetphotos.com/400/6/83463_1622615311.jpg,./img/A320/cdn.jetphotos.com-400-6-83463_1622615311.jpg,A320,214,train
Airbus A320-214,LTU,Photo date: 2005-10-02,Uploaded: 2021-06-15,"Location: Düsseldorf Rhein-Ruhr Int'l Airport - EDDL, Germany",By: Stefan Kuhn,cdn.jetphotos.com/400/5/29243_1622611421.jpg,./img/A320/cdn.jetphotos.com-400-5-29243_1622611421.jpg,A320,214,test
Airbus A320-214,Condor,Photo date: 2021-05-23,Uploaded: 2021-06-15,"Location: Frankfurt Rhein-Main Int'l Airport - EDDF, Germany",By: TG Aviation Spotter,cdn.jetphotos.com/400/6/63124_1622609230.jpg,./img/A320/cdn.jetphotos.com-400-6-63124_1622609230.jpg,A320,214,validation
Airbus A320-216,Thai AirAsia,Photo date: 2021-06-15,Uploaded: 2021-06-15,"Location: Guangzhou Baiyun Airport - ZGGG, China",By: Zongzha_Kaiguan,cdn.jetphotos.com/400/5/65349_1623759738.jpg,./img/A320/cdn.jetphotos.com-400-5-65349_1623759738.jpg,A320,216,train
Airbus A320-271N,IndiGo Airlines,Photo date: 2020-12-21,Uploaded: 2021-06-15,"Location: Mumbai Chhatrapati Shivaji Int'l - VABB, India",By: Aneesh Bapaye,cdn.jetphotos.com/400/5/84866_1622609356.jpg,./img/A320/cdn.jetphotos.com-400-5-84866_1622609356.jpg,A320,271N,test
Airbus A320-271N,IndiGo Airlines,Photo date: 2020-12-21,Uploaded: 2021-06-15,"Location: Mumbai Chhatrapati Shivaji Int'l - VABB, India",By: Aneesh Bapaye,cdn.jetphotos.com/400/6/13086_1622609300.jpg,./img/A320/cdn.jetphotos.com-400-6-13086_1622609300.jpg,A320,271N,train
Airbus A320-232,Vistara,Photo date: 2020-12-21,Uploaded: 2021-06-15,"Location: Mumbai Chhatrapati Shivaji Int'l - VABB, India",By: Aneesh Bapaye,cdn.jetphotos.com/400/5/82229_1622609222.jpg,./img/A320/cdn.jetphotos.com-400-5-82229_1622609222.jpg,A320,232,train
Airbus A320-251N,Vistara,Photo date: 2020-12-21,Uploaded: 2021-06-15,"Location: Mumbai Chhatrapati Shivaji Int'l - VABB, India",By: Aneesh Bapaye,cdn.jetphotos.com/400/5/17123_1622609047.jpg,./img/A320/cdn.jetphotos.com-400-5-17123_1622609047.jpg,A320,251N,train
Airbus A320-214,Brussels Airlines,Photo date: 2018-11-17,Uploaded: 2021-06-15,"Location: Brussels Zaventem Int'l Airport - EBBR, Belgium",By: Thomas Desmet Photography,cdn.jetphotos.com/400/5/21687_1622608060.jpg,./img/A320/cdn.jetphotos.com-400-5-21687_1622608060.jpg,A320,214,test
Airbus A320-251N,Spring Airlines,Photo date: 2021-06-13,Uploaded: 2021-06-15,"Location: Shenyang-Taoxian - ZYTX, China",By: SHE_Kai,cdn.jetphotos.com/400/5/31182_1623759115.jpg,./img/A320/cdn.jetphotos.com-400-5-31182_1623759115.jpg,A320,251N,train
Airbus A320-214,Aeroflot,Photo date: 2021-04-29,Uploaded: 2021-06-15,"Location: Omsk - UNOO, Russia",By: Maksim Golbraiht,cdn.jetphotos.com/400/5/38823_1622455065.jpg,./img/A320/cdn.jetphotos.com-400-5-38823_1622455065.jpg,A320,214,test
Airbus A320-214,Brussels Airlines,Photo date: 2021-06-13,Uploaded: 2021-06-15,"Location: Brussels Zaventem Int'l Airport - EBBR, Belgium",By: TiesRBC,cdn.jetphotos.com/400/6/75663_1623757528.jpg,./img/A320/cdn.jetphotos.com-400-6-75663_1623757528.jpg,A320,214,test
Airbus A320-251N,Viva Air Colombia,Photo date: 2021-05-05,Uploaded: 2021-06-15,"Location: Lima Aeropuerto Internacional Jorge Chavez - SPJC, Peru",By: Aldo Martinelli,cdn.jetphotos.com/400/5/61101_1622604912.jpg,./img/A320/cdn.jetphotos.com-400-5-61101_1622604912.jpg,A320,251N,test
Airbus A320-251N,Azul Linhas Aéreas Brasileiras,Photo date: 2021-05-27,Uploaded: 2021-06-15,"Location: Sao Paulo Congonhas - SBSP, Brazil",By: Marcos V. Oliveira,cdn.jetphotos.com/400/5/10723_1622604138.jpg,./img/A320/cdn.jetphotos.com-400-5-10723_1622604138.jpg,A320,251N,train
Airbus A320-214,Air China,Photo date: 2020-12-13,Uploaded: 2021-06-15,"Location: Beijing Capital - ZBAA, China",By: CHEN SHUO,cdn.jetphotos.com/400/6/19106_1622604026.jpg,./img/A320/cdn.jetphotos.com-400-6-19106_1622604026.jpg,A320,214,test
Airbus A320-216,AirAsia,Photo date: 2013-05-26,Uploaded: 2021-06-15,"Location: Ho Chi Minh City Tan Son Nhat - VVTS, Vietnam",By: Hao Phan,cdn.jetphotos.com/400/6/55915_1622601758.jpg,./img/A320/cdn.jetphotos.com-400-6-55915_1622601758.jpg,A320,216,train
Airbus A320-232,China Eastern Airlines,Photo date: 2020-12-19,Uploaded: 2021-06-15,"Location: Nanjing - ZSNJ, China",By: Jiaming,cdn.jetphotos.com/400/5/66177_1622600955.jpg,./img/A320/cdn.jetphotos.com-400-5-66177_1622600955.jpg,A320,232,test
Airbus A320-251N,Spring Airlines,Photo date: 2021-05-30,Uploaded: 2021-06-15,"Location: Shanghai Pudong - ZSPD, China",By: Jiaming,cdn.jetphotos.com/400/5/60477_1622600873.jpg,./img/A320/cdn.jetphotos.com-400-5-60477_1622600873.jpg,A320,251N,train
Airbus A320-212,Kuwait - Government,Photo date: 2021-06-01,Uploaded: 2021-06-15,"Location: Chicago O'Hare Int'l Airport - KORD, USA - Illinois",By: Sean Brink,cdn.jetphotos.com/400/5/43625_1622597926.jpg,./img/A320/cdn.jetphotos.com-400-5-43625_1622597926.jpg,A320,212,train
Airbus A320-251N,Avianca,Photo date: 2021-06-01,Uploaded: 2021-06-15,"Location: Medellín Rionegro José María Córdova - SKRG, Colombia",By: Jorge Saenz,cdn.jetphotos.com/400/6/17097_1622596944.jpg,./img/A320/cdn.jetphotos.com-400-6-17097_1622596944.jpg,A320,251N,train
Airbus A320-271N,Volaris,Photo date: 2021-05-31,Uploaded: 2021-06-15,"Location: San Jose Int'l Airport - KSJC, USA - California",By: Chris Phan,cdn.jetphotos.com/400/5/46890_1622598383.jpg,./img/A320/cdn.jetphotos.com-400-5-46890_1622598383.jpg,A320,271N,train
Airbus A320-271N,Sichuan Airlines,Photo date: 2021-02-16,Uploaded: 2021-06-15,"Location: Chengdu Shuangliu - ZUUU, China",By: zjs,cdn.jetphotos.com/400/5/67410_1622593291.jpg,./img/A320/cdn.jetphotos.com-400-5-67410_1622593291.jpg,A320,271N,train
Airbus A320-271N,VivaAerobus,Photo date: 2020-11-28,Uploaded: 2021-06-15,"Location: México City Licenciado Benito Juarez Int'l - MMMX, Mexico",By: Alejandro Zárate Gtz,cdn.jetphotos.com/400/6/65079_1622588627.jpg,./img/A320/cdn.jetphotos.com-400-6-65079_1622588627.jpg,A320,271N,train
Airbus A320-214,easyJet Europe,Photo date: 2021-05-28,Uploaded: 2021-06-15,"Location: Milano Malpensa - LIMC, Italy",By: paoloz99,cdn.jetphotos.com/400/5/14553_1622584370.jpg,./img/A320/cdn.jetphotos.com-400-5-14553_1622584370.jpg,A320,214,train
Airbus A320-214,easyJet Europe,Photo date: 2021-05-30,Uploaded: 2021-06-15,"Location: Lisbon Humberto Delgado Airport - LPPT, Portugal",By: Aaron Vancoillie,cdn.jetphotos.com/400/6/35720_1622584191.jpg,./img/A320/cdn.jetphotos.com-400-6-35720_1622584191.jpg,A320,214,train
Airbus A320-214,Iberia Express,Photo date: 2021-04-18,Uploaded: 2021-06-15,"Location: Tenerife Norte-Los Rodeos - GCXO, Spain",By: Román A. Pérez,cdn.jetphotos.com/400/6/71714_1622582945.jpg,./img/A320/cdn.jetphotos.com-400-6-71714_1622582945.jpg,A320,214,test
Airbus A320-214,easyJet Switzerland,Photo date: 2021-05-29,Uploaded: 2021-06-15,"Location: Tenerife Sur-Reina Sofía - GCTS, Spain",By: Román A. Pérez,cdn.jetphotos.com/400/6/97099_1622582118.jpg,./img/A320/cdn.jetphotos.com-400-6-97099_1622582118.jpg,A320,214,train
Airbus A320-214,Lauda Europe,Photo date: 2021-05-29,Uploaded: 2021-06-15,"Location: Tenerife Sur-Reina Sofía - GCTS, Spain",By: Román A. Pérez,cdn.jetphotos.com/400/5/56664_1622582083.jpg,./img/A320/cdn.jetphotos.com-400-5-56664_1622582083.jpg,A320,214,test
Airbus A320-214,easyJet Europe,Photo date: 2021-05-29,Uploaded: 2021-06-15,"Location: Tenerife Sur-Reina Sofía - GCTS, Spain",By: Román A. Pérez,cdn.jetphotos.com/400/5/90529_1622581770.jpg,./img/A320/cdn.jetphotos.com-400-5-90529_1622581770.jpg,A320,214,train
Airbus A320-271N,Aegean Airlines,Photo date: 2021-05-30,Uploaded: 2021-06-15,"Location: Brussels Zaventem Int'l Airport - EBBR, Belgium",By: Viktor Szontagh,cdn.jetphotos.com/400/5/91354_1622581252.jpg,./img/A320/cdn.jetphotos.com-400-5-91354_1622581252.jpg,A320,271N,train
Airbus A320-251N,Air Malta,Photo date: 2021-05-30,Uploaded: 2021-06-15,"Location: Brussels Zaventem Int'l Airport - EBBR, Belgium",By: Viktor Szontagh,cdn.jetphotos.com/400/5/37373_1622581135.jpg,./img/A320/cdn.jetphotos.com-400-5-37373_1622581135.jpg,A320,251N,validation
Airbus A320-232,Qatar Airways,Photo date: 2021-05-09,Uploaded: 2021-06-15,"Location: Bucharest Henri Coanda Airport - LROP, Romania",By: Marin Ghe.,cdn.jetphotos.com/400/5/59448_1622580455.jpg,./img/A320/cdn.jetphotos.com-400-5-59448_1622580455.jpg,A320,232,validation
Airbus A320-232,Qatar Airways,Photo date: 2021-05-17,Uploaded: 2021-06-15,"Location: Bucharest Henri Coanda Airport - LROP, Romania",By: Marin Ghe.,cdn.jetphotos.com/400/5/69759_1622580690.jpg,./img/A320/cdn.jetphotos.com-400-5-69759_1622580690.jpg,A320,232,validation
Airbus A320-251N,Sky Express,Photo date: 2021-05-30,Uploaded: 2021-06-15,"Location: Brussels Zaventem Int'l Airport - EBBR, Belgium",By: Viktor Szontagh,cdn.jetphotos.com/400/6/65498_1622579698.jpg,./img/A320/cdn.jetphotos.com-400-6-65498_1622579698.jpg,A320,251N,train
